Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Departure_Time,PassengersAscending,PassengersDescending
2025,12,יום חול,4600,,220,05:28:00,,
2025,12,יום חול,4600,השלום,1220,05:28:00,20.0,8.0
2025,12,יום חול,4600,השלום,220,05:28:00,79.0,18.0
2025,12,יום חול,4900,תל אביב ההגנה,953,05:28:00,43.0,4.0
2025,12,שישי,4900,תל אביב ההגנה,6019,05:28:00,52.0,1.0
2026,1,יום חול,2800,,149,05:28:00,,
2026,1,יום חול,4600,השלום,1220,05:28:00,27.0,6.0
2026,1,יום חול,4600,השלום,220,05:28:00,130.0,25.0
2026,1,יום חול,4900,תל אביב ההגנה,953,05:28:00,50.0,2.0
2026,1,שישי,4900,תל אביב ההגנה,6019,05:28:00,108.0,3.0
2025,12,יום חול,3700,תל אביב מרכז,7,05:29:00,263.0,1472.0
2025,12,יום חול,3700,תל אביב מרכז,1007,05:29:00,45.0,260.0
2025,12,יום חול,4900,,300,05:29:00,,
2025,12,יום חול,4900,תל אביב ההגנה,300,05:29:00,170.0,11.0
2025,12,שישי,3700,תל אביב מרכז,6007,05:29:00,54.0,120.0
2026,1,יום חול,3700,,7,05:29:00,,
2026,1,יום חול,3700,תל אביב מרכז,7,05:29:00,192.0,1177.0
2026,1,יום חול,3700,תל אביב מרכז,1007,05:29:00,58.0,222.0
2026,1,יום חול,4900,תל אביב ההגנה,300,05:29:00,200.0,11.0
2026,1,יום חול,4900,,300,05:29:00,,
2026,1,שישי,3700,תל אביב מרכז,6007,05:29:00,70.0,103.0
2025,12,יום חול,2100,חיפה מרכז,10,05:30:00,85.0,275.0
2025,12,שישי,2100,חיפה מרכז,6010,05:30:00,23.0,62.0
2025,12,שישי,3400,בית יהושע,6220,05:30:00,4.0,10.0
2025,12,שישי,5900,אשקלון,6843,05:30:00,1.0,12.0
2026,1,יום חול,2100,חיפה מרכז,1010,05:30:00,10.0,32.0
2026,1,יום חול,2100,חיפה מרכז,10,05:30:00,76.0,276.0
2026,1,שישי,2100,חיפה מרכז,6010,05:30:00,21.0,81.0
2026,1,שישי,3400,בית יהושע,6220,05:30:00,1.0,37.0
2026,1,שישי,2100,חיפה מרכז,8010,05:30:00,2.0,0.0
2025,12,שישי,4680,בת ים יוספטל,6616,05:31:00,54.0,10.0
2025,12,שישי,3600,תא אוניברסיטה,6012,05:31:00,23.0,2.0
2026,1,שישי,3600,תא אוניברסיטה,6012,05:31:00,11.0,5.0
2026,1,שישי,4680,בת ים יוספטל,6616,05:31:00,70.0,12.0
2025,12,יום חול,3600,תא אוניברסיטה,713,05:32:00,186.0,70.0
2025,12,יום חול,3700,תל אביב מרכז,220,05:32:00,143.0,47.0
2025,12,יום חול,3700,תל אביב מרכז,1220,05:32:00,43.0,8.0
2025,12,שישי,3600,תא אוניברסיטה,6715,05:32:00,20.0,21.0
2025,12,שישי,4900,תל אביב ההגנה,6611,05:32:00,211.0,0.0
2026,1,יום חול,3700,תל אביב מרכז,1220,05:32:00,38.0,5.0
2025,12,שישי,9600,שדרות,6609,05:32:00,2.0,3.0
2026,1,יום חול,3600,תא אוניברסיטה,713,05:32:00,156.0,51.0
2026,1,יום חול,3700,תל אביב מרכז,220,05:32:00,139.0,59.0
2026,1,שישי,3600,תא אוניברסיטה,6715,05:32:00,39.0,3.0
2026,1,שישי,9600,שדרות,6609,05:32:00,5.0,4.0
2026,1,שישי,4900,תל אביב ההגנה,6611,05:32:00,194.0,0.0
2025,12,יום חול,3300,נתניה,12,05:34:00,873.0,339.0
2025,12,שישי,3310,נתניה קריית ספיר,6220,05:34:00,1.0,19.0
2026,1,יום חול,3300,נתניה,12,05:34:00,747.0,301.0
2026,1,שישי,3310,נתניה קריית ספיר,6220,05:34:00,0.0,5.0
2026,1,שישי,9600,שדרות,6843,05:34:00,3.0,0.0
2026,1,יום חול,5200,,950,05:34:00,,
2025,12,יום חול,680,ירושלים/יצחק נבון,710,05:35:00,1361.0,0.0
2025,12,יום חול,4600,השלום,300,05:35:00,64.0,48.0
2026,1,יום חול,680,ירושלים/יצחק נבון,710,05:35:00,1335.0,0.0
2026,1,יום חול,4600,השלום,300,05:35:00,28.0,21.0
2026,1,יום חול,4600,,300,05:35:00,,
2025,12,יום חול,3600,תא אוניברסיטה,220,05:36:00,9.0,84.0
2025,12,יום חול,3600,תא אוניברסיטה,1220,05:36:00,6.0,25.0
2025,12,שישי,4640,צומת חולון,6611,05:36:00,3.0,3.0
2026,1,יום חול,3600,תא אוניברסיטה,220,05:36:00,9.0,71.0
2026,1,יום חול,3600,תא אוניברסיטה,1220,05:36:00,6.0,21.0
2026,1,שישי,4640,צומת חולון,6611,05:36:00,5.0,1.0
2025,12,יום חול,2100,חיפה מרכז,1010,05:37:00,27.0,48.0
2025,12,יום חול,3700,תל אביב מרכז,713,05:37:00,633.0,93.0
2025,12,שישי,3700,תל אביב מרכז,6715,05:37:00,125.0,9.0
2026,1,יום חול,2100,חיפה מרכז,1010,05:37:00,11.0,23.0
2026,1,יום חול,3700,תל אביב מרכז,713,05:37:00,533.0,78.0
2026,1,שישי,3700,תל אביב מרכז,6715,05:37:00,121.0,4.0
2026,1,יום חול,6900,,20,05:37:00,,
2025,12,יום חול,5150,לוד גני אביב,953,05:38:00,15.0,40.0
2025,12,יום חול,9600,שדרות,609,05:38:00,36.0,0.0
2026,1,יום חול,9600,שדרות,609,05:38:00,36.0,6.0
2026,1,יום חול,5150,לוד גני אביב,953,05:38:00,22.0,30.0
2025,12,יום חול,3700,תל אביב מרכז,611,05:39:00,599.0,0.0
2025,12,שישי,3500,הרצליה,6012,05:39:00,56.0,30.0
2025,12,שישי,680,ירושלים/יצחק נבון,6716,05:39:00,354.0,0.0
2025,12,שישי,4660,חולון וולפסון,6611,05:39:00,10.0,2.0
2025,12,שישי,3300,נתניה,6220,05:39:00,23.0,42.0
2026,1,יום חול,3700,תל אביב מרכז,611,05:39:00,601.0,0.0
2026,1,שישי,3500,הרצליה,6012,05:39:00,67.0,32.0
2026,1,שישי,680,ירושלים/יצחק נבון,6716,05:39:00,398.0,0.0
2026,1,שישי,3300,נתניה,6220,05:39:00,27.0,79.0
2026,1,שישי,4660,חולון וולפסון,6611,05:39:00,15.0,4.0
2025,12,יום חול,1300,חוצות מפרץ,151,05:40:00,494.0,203.0
2025,12,יום חול,3700,תל אביב מרכז,300,05:40:00,64.0,75.0
2026,1,יום חול,1300,חוצות מפרץ,151,05:40:00,427.0,157.0
2026,1,יום חול,3700,תל אביב מרכז,300,05:40:00,40.0,67.0
2026,1,יום חול,3700,,300,05:40:00,,
2025,12,יום חול,1400,קרית מוצקין,10,05:41:00,94.0,365.0
2025,12,יום חול,4600,השלום,713,05:41:00,370.0,100.0
2025,12,שישי,1400,קרית מוצקין,6010,05:41:00,15.0,101.0
2025,12,שישי,9650,נתיבות,6609,05:41:00,8.0,2.0
2026,1,יום חול,1400,קרית מוצקין,1010,05:41:00,9.0,25.0
2026,1,יום חול,1400,קרית מוצקין,10,05:41:00,71.0,257.0
2026,1,יום חול,4600,השלום,713,05:41:00,383.0,78.0
2026,1,יום חול,7320,,22,05:41:00,,
2026,1,שישי,1400,קרית מוצקין,8010,05:41:00,1.0,2.0
2026,1,שישי,1400,קרית מוצקין,6010,05:41:00,8.0,79.0
2026,1,שישי,9650,נתיבות,6609,05:41:00,3.0,0.0
2025,12,יום חול,3700,תל אביב מרכז,429,05:42:00,702.0,0.0
2025,12,יום חול,4600,השלום,611,05:42:00,190.0,64.0
2025,12,שישי,4600,השלום,6715,05:42:00,83.0,7.0
2025,12,שישי,5000,לוד,6019,05:42:00,7.0,32.0
2026,1,יום חול,3700,תל אביב מרכז,429,05:42:00,556.0,0.0
2026,1,יום חול,4600,השלום,611,05:42:00,198.0,61.0
2026,1,שישי,4600,השלום,6715,05:42:00,111.0,6.0
2026,1,שישי,5000,לוד,6019,05:42:00,10.0,31.0
2025,12,שישי,3700,תל אביב מרכז,6845,05:43:00,9.0,0.0
2025,12,יום חול,3100,חדרה מערב,12,05:44:00,1295.0,284.0
2025,12,יום חול,3500,הרצליה,1220,05:44:00,21.0,46.0
2025,12,יום חול,3500,הרצליה,220,05:44:00,47.0,288.0
2025,12,יום חול,5000,לוד,953,05:44:00,42.0,110.0
2025,12,שישי,1300,חוצות מפרץ,6023,05:44:00,21.0,10.0
2025,12,שישי,4900,תל אביב ההגנה,6616,05:44:00,78.0,104.0
2025,12,שישי,4680,בת ים יוספטל,6611,05:44:00,76.0,9.0
2026,1,יום חול,3500,הרצליה,220,05:44:00,49.0,197.0
2026,1,יום חול,3500,הרצליה,1220,05:44:00,18.0,46.0
2026,1,יום חול,3100,חדרה מערב,12,05:44:00,1161.0,243.0
2026,1,יום חול,5000,לוד,953,05:44:00,28.0,78.0
2026,1,שישי,4680,בת ים יוספטל,6611,05:44:00,76.0,12.0
2026,1,שישי,1300,חוצות מפרץ,8023,05:44:00,0.0,0.0
2026,1,שישי,4900,תל אביב ההגנה,6616,05:44:00,75.0,96.0
2026,1,יום חול,5000,,953,05:44:00,,
2026,1,שישי,1300,חוצות מפרץ,6023,05:44:00,16.0,6.0
2025,12,יום חול,3600,תא אוניברסיטה,300,05:45:00,13.0,28.0
2026,1,יום חול,3600,,300,05:45:00,,
2026,1,יום חול,3600,תא אוניברסיטה,300,05:45:00,18.0,23.0
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,151,05:46:00,1008.0,192.0
2025,12,יום חול,4900,תל אביב ההגנה,614,05:46:00,476.0,124.0
2025,12,שישי,4600,השלום,6845,05:46:00,7.0,0.0
2026,1,יום חול,1220,מרכזית המפרץ/קו החוף,151,05:46:00,863.0,211.0
2026,1,יום חול,4900,תל אביב ההגנה,614,05:46:00,281.0,55.0
2025,12,יום חול,4600,השלום,429,05:47:00,347.0,6.0
2025,12,יום חול,4900,תל אביב ההגנה,611,05:47:00,1316.0,47.0
2025,12,יום חול,4900,תל אביב ההגנה,713,05:47:00,907.0,120.0
2025,12,יום חול,9650,נתיבות,609,05:47:00,62.0,9.0
2025,12,שישי,4900,תל אביב ההגנה,6715,05:47:00,237.0,13.0
2025,12,שישי,4690,בת ים קוממיות,6611,05:47:00,13.0,2.0
