FromStationName,ToStationName,Month,Year,SUM_Values_Pass
אשדוד עד הלום,חוצות מפרץ,11,2025,147
מרכזית המפרץ/קו החוף,חולון וולפסון,10,2025,196
עתלית,"רשל""צ משה דיין",10,2025,125
אופקים,חוף הכרמל,10,2025,322
מזכרת בתיה,חדרה מערב,10,2025,103
מרכזית המפרץ/קו החוף,קרית חיים,10,2025,621
בת ים קוממיות,אופקים,11,2025,209
באר שבע צפון,דימונה,10,2025,71
תל אביב מרכז,רעננה דרום,10,2025,1117
נתיבות,להבים רהט,11,2025,2
להבים רהט,כפר ברוך,11,2025,7
שדרות,בת ים יוספטל,11,2025,530
קרית גת,כפר חבד,11,2025,546
נתניה קריית ספיר,פאתי מודיעין,10,2025,144
כרמיאל,בנימינה,10,2025,744
בנימינה,אופקים,11,2025,595
רעננה מערב,חולון וולפסון,11,2025,99
בני ברק,הרצליה,10,2025,250
בית שמש,בנימינה,10,2025,350
באר שבע צפון,בית שמש,11,2025,138
באר שבע מרכז,נתניה,10,2025,2620
בת ים יוספטל,לוד,11,2025,447
פאתי מודיעין,כפר יהושע,11,2025,34
ראשונים,רעננה מערב,11,2025,24
יבנה מזרח,סגולה,11,2025,4
יבנה מזרח,בת ים קוממיות,11,2025,4
חיפה מרכז,עתלית,11,2025,801
ראשונים,ירושלים/יצחק נבון,11,2025,87
בת גלים,כפר חבד,11,2025,110
הוד השרון,ראשונים,10,2025,8
דימונה,קרית גת,11,2025,18
נהריה,בית שמש,11,2025,308
שדרות,רעננה מערב,11,2025,147
חיפה מרכז,רמלה,10,2025,215
תל אביב ההגנה,תא אוניברסיטה,10,2025,4057
עתלית,בת ים קוממיות,10,2025,23
חיפה מרכז,אשקלון,10,2025,475
אשדוד עד הלום,השלום,10,2025,20969
קרית חיים,קרית אריה,11,2025,52
חוף הכרמל,חיפה מרכז,11,2025,815
מרכזית המפרץ/קו החוף,רעננה דרום,10,2025,145
עכו,ראש העין צפון,10,2025,184
דימונה,לוד,11,2025,63
שדרות,כפר חבד,11,2025,60
בת גלים,לוד,10,2025,409
