FromStationName,ToStationName,Month,Year,SUM_Values_Pass
צומת חולון,כפר ברוך,2,2026,11
בית שאן,קרית מלאכי,2,2026,43
אשקלון,כפר ברוך,2,2026,56
סגולה,עתלית,2,2026,49
קרית מלאכי,דימונה,2,2026,4
דימונה,עפולה,2,2026,2
רעננה דרום,בני ברק,2,2026,398
לוד,בנימינה,2,2026,885
נתניה,תל אביב מרכז,2,2026,29300
קיסריה פרדס חנה,קרית גת,2,2026,132
קיסריה פרדס חנה,חיפה מרכז,2,2026,578
כפר חבד,אשקלון,2,2026,415
חדרה מערב,מודיעין מרכז,2,2026,662
אחיהוד,חולון וולפסון,2,2026,8
אחיהוד,חדרה מערב,2,2026,75
בית שמש,בית שאן,2,2026,58
רחובות,הרצליה,2,2026,5277
צומת חולון,נהריה,2,2026,97
בית יהושע,לוד,2,2026,687
בני ברק,נתיבות,2,2026,338
מודיעין מרכז,בני ברק,2,2026,146
נהריה,קרית מוצקין,2,2026,9587
עתלית,נתיבות,2,2026,33
יבנה מזרח,כפר חבד,2,2026,139
באר יעקב,עכו,2,2026,60
עפולה,רעננה דרום,2,2026,18
קרית אריה,אשדוד עד הלום,2,2026,2227
באר יעקב,עפולה,2,2026,41
בית שאן,השלום,2,2026,1370
חדרה מערב,פאתי מודיעין,2,2026,186
צומת חולון,שדרות,2,2026,166
בת גלים,עתלית,2,2026,1443
בת ים יוספטל,חוצות מפרץ,2,2026,91
מזכרת בתיה,תל אביב ההגנה,2,2026,2315
כפר סבא,עכו,2,2026,129
כפר חבד,עפולה,2,2026,32
הרצליה,יבנה מזרח,2,2026,1093
כפר חבד,רמלה,2,2026,34
בית שאן,ראש העין צפון,2,2026,50
בית שאן,לוד,2,2026,121
מודיעין מרכז,"רשל""צ משה דיין",2,2026,191
באר יעקב,כרמיאל,2,2026,104
צומת חולון,לוד גני אביב,2,2026,49
סגולה,"רשל""צ משה דיין",2,2026,868
כרמיאל,"רשל""צ משה דיין",2,2026,440
אופקים,מזכרת בתיה,2,2026,55
באר יעקב,רחובות,2,2026,1721
הרצליה,ראש העין צפון,2,2026,1143
