FromStationName,ToStationName,Month,Year,SUM_Values_Pass
בית שאן,"רשל""צ משה דיין",12,2025,133
באר שבע מרכז,קרית חיים,1,2026,179
כפר ברוך,צומת חולון,12,2025,23
ראשונים,אחיהוד,12,2025,8
תל אביב ההגנה,עתלית,1,2026,818
הוד השרון,באר שבע צפון,1,2026,474
ירושלים/יצחק נבון,חוף הכרמל,1,2026,7944
פאתי מודיעין,עכו,1,2026,184
חולון וולפסון,עפולה,1,2026,59
לוד גני אביב,ראש העין צפון,12,2025,24
רמלה,ראשונים,1,2026,58
"נתב""ג",רמלה,1,2026,313
נהריה,בית שאן,1,2026,353
רעננה מערב,קרית גת,1,2026,140
כפר סבא,עפולה,1,2026,46
"נתב""ג",יבנה מערב,1,2026,587
הוד השרון,תא אוניברסיטה,12,2025,5168
פאתי מודיעין,אופקים,1,2026,26
ירושלים/יצחק נבון,כרמיאל,12,2025,2733
מזכרת בתיה,נתניה,1,2026,206
בית שמש,באר שבע צפון,12,2025,141
עכו,ירושלים/יצחק נבון,12,2025,3005
עפולה,חוף הכרמל,1,2026,4262
מזכרת בתיה,מרכזית המפרץ/קו החוף,1,2026,562
נתיבות,באר שבע צפון,12,2025,3166
יבנה מערב,תל אביב מרכז,1,2026,9635
רחובות,חוף הכרמל,12,2025,1969
אשדוד עד הלום,חיפה מרכז,1,2026,388
כפר חבד,קרית גת,1,2026,470
חוף הכרמל,צומת חולון,1,2026,211
השלום,קרית אריה,12,2025,2544
חיפה מרכז,סגולה,12,2025,281
עכו,כפר חבד,12,2025,55
חיפה מרכז,ירושלים/יצחק נבון,12,2025,3470
השלום,שדרות,1,2026,5231
נתניה,חולון וולפסון,12,2025,369
בנימינה,קרית מוצקין,12,2025,1781
קרית חיים,הוד השרון,12,2025,28
חולון וולפסון,כפר ברוך,1,2026,22
באר שבע מרכז,קרית מוצקין,12,2025,1979
בית יהושע,"נתב""ג",1,2026,2635
יבנה מזרח,חוף הכרמל,12,2025,150
באר שבע צפון,אשדוד עד הלום,1,2026,2929
רחובות,באר יעקב,12,2025,1756
כפר ברוך,בנימינה,1,2026,96
